2020-03-03 12:09:58.962 [main] WARN  org.beetl.ext.spring.BeetlSpringViewResolver - Beetl不建议使用使用spring前缀，会导致include,layout找不到对应的模板，请使用beetl的配置RESOURCE.ROOT来配置模板根目录
2020-03-03 12:11:58.138 [main] WARN  com.ctrip.framework.apollo.core.utils.ResourceUtils - No available properties: apollo-env.properties
2020-03-03 12:12:12.739 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.system.bean.Wordbook.
2020-03-03 12:12:12.773 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.system.bean.ServiceWordbookGroup.
2020-03-03 12:12:12.894 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysMenu.
2020-03-03 12:12:12.930 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysMenuPermission.
2020-03-03 12:12:13.071 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysRole.
2020-03-03 12:12:13.145 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysUser.
2020-03-03 12:12:18.617 [main] WARN  org.beetl.ext.spring.BeetlSpringViewResolver - Beetl不建议使用使用spring前缀，会导致include,layout找不到对应的模板，请使用beetl的配置RESOURCE.ROOT来配置模板根目录
2020-03-03 12:17:21.500 [main] WARN  com.ctrip.framework.apollo.core.utils.ResourceUtils - No available properties: apollo-env.properties
2020-03-03 12:21:23.944 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.system.bean.Wordbook.
2020-03-03 12:21:23.978 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.system.bean.ServiceWordbookGroup.
2020-03-03 12:21:24.100 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysMenu.
2020-03-03 12:21:24.136 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysMenuPermission.
2020-03-03 12:21:24.271 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysRole.
2020-03-03 12:21:24.603 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysUser.
2020-03-03 12:21:29.549 [main] WARN  org.beetl.ext.spring.BeetlSpringViewResolver - Beetl不建议使用使用spring前缀，会导致include,layout找不到对应的模板，请使用beetl的配置RESOURCE.ROOT来配置模板根目录
